Scheme_Name,Net_Asset_Value,Outstanding_Number_of_Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued,Year,Month,Week,Day
Bond Fund,4.71785E+11,4092421282,115.2826,115.2826,115.2826,9/8/2023,2023,9,36,8
Bond Fund,4.71037E+11,4087047306,115.2512,115.2512,115.2512,9/7/2023,2023,9,36,7
Bond Fund,4.70198E+11,4080883953,115.2197,115.2197,115.2197,9/6/2023,2023,9,36,6
Bond Fund,4.68566E+11,4067826759,115.1884,115.1884,115.1884,9/5/2023,2023,9,36,5
Bond Fund,4.64293E+11,4031808087,115.1576,115.1576,115.1576,9/4/2023,2023,9,36,4
Bond Fund,4.61618E+11,4011874453,115.063,115.063,115.063,9/1/2023,2023,9,35,1
Bond Fund,4.64517E+11,4003377712,116.0313,116.0313,116.0313,8/31/2023,2023,8,35,31
Bond Fund,4.63883E+11,3999002155,115.9996,115.9996,115.9996,8/30/2023,2023,8,35,30
Bond Fund,4.63028E+11,3992724191,115.9679,115.9679,115.9679,8/29/2023,2023,8,35,29
Bond Fund,4.61606E+11,3981545135,115.9365,115.9365,115.9365,8/28/2023,2023,8,35,28
Bond Fund,4.59177E+11,3967896695,115.7229,115.7229,115.7229,8/25/2023,2023,8,34,25
Bond Fund,4.5798E+11,3958639828,115.6912,115.6912,115.6912,8/24/2023,2023,8,34,24
Bond Fund,4.57258E+11,3953489677,115.6594,115.6594,115.6594,8/23/2023,2023,8,34,23
Bond Fund,4.56771E+11,3950369616,115.6275,115.6275,115.6275,8/22/2023,2023,8,34,22
Bond Fund,4.56029E+11,3945039513,115.5957,115.5957,115.5957,8/21/2023,2023,8,34,21
Bond Fund,4.55738E+11,3945761420,115.5007,115.5007,115.5007,8/18/2023,2023,8,33,18
Bond Fund,4.55039E+11,3940778102,115.4692,115.4692,115.4692,8/17/2023,2023,8,33,17
Bond Fund,4.53864E+11,3931656739,115.4383,115.4383,115.4383,8/16/2023,2023,8,33,16
Bond Fund,4.53717E+11,3931436120,115.4074,115.4074,115.4074,8/15/2023,2023,8,33,15
Bond Fund,4.52215E+11,3919473627,115.3765,115.3765,115.3765,8/14/2023,2023,8,33,14
Bond Fund,4.49412E+11,3898300611,115.284,115.284,115.284,8/11/2023,2023,8,32,11
Bond Fund,4.48662E+11,3892846808,115.2529,115.2529,115.2529,8/10/2023,2023,8,32,10
Bond Fund,4.47411E+11,3883038237,115.2218,115.2218,115.2218,8/9/2023,2023,8,32,9
Bond Fund,4.45793E+11,3871089258,115.1596,115.1596,115.1596,8/7/2023,2023,8,32,7
Bond Fund,4.44647E+11,3864202783,115.0683,115.0683,115.0683,8/4/2023,2023,8,31,4
Bond Fund,4.43877E+11,3858539196,115.0376,115.0376,115.0376,8/3/2023,2023,8,31,3
Bond Fund,4.39514E+11,3821632697,115.0068,115.0068,115.0068,8/2/2023,2023,8,31,2
Bond Fund,4.37076E+11,3801442551,114.9764,114.9764,114.9764,8/1/2023,2023,8,31,1
Bond Fund,4.39503E+11,3790613450,115.9452,115.9452,115.9452,7/31/2023,2023,7,31,31
Bond Fund,4.38333E+11,3783545368,115.8524,115.8524,115.8524,7/28/2023,2023,7,30,28
Bond Fund,4.37244E+11,3780263845,115.6648,115.6648,115.6648,7/27/2023,2023,7,30,27
Bond Fund,4.35851E+11,3769242941,115.6336,115.6336,115.6336,7/26/2023,2023,7,30,26
Bond Fund,4.34915E+11,3762157372,115.6026,115.6026,115.6026,7/25/2023,2023,7,30,25
Bond Fund,4.32484E+11,3742135887,115.5715,115.5715,115.5715,7/24/2023,2023,7,30,24
Bond Fund,4.31882E+11,3739954387,115.4778,115.4778,115.4778,7/21/2023,2023,7,29,21
Bond Fund,4.31386E+11,3736674531,115.4465,115.4465,115.4465,7/20/2023,2023,7,29,20
Bond Fund,4.31315E+11,3737071332,115.4152,115.4152,115.4152,7/19/2023,2023,7,29,19
Bond Fund,4.30696E+11,3732726285,115.3837,115.3837,115.3837,7/18/2023,2023,7,29,18
Bond Fund,4.3006E+11,3728217408,115.3527,115.3527,115.3527,7/17/2023,2023,7,29,17
Bond Fund,4.30551E+11,3735514426,115.2587,115.2587,115.2587,7/14/2023,2023,7,28,14
Bond Fund,4.29328E+11,3725913542,115.2275,115.2275,115.2275,7/13/2023,2023,7,28,13
Bond Fund,4.28412E+11,3718976805,115.1961,115.1961,115.1961,7/12/2023,2023,7,28,12
Bond Fund,4.27774E+11,3714453725,115.1646,115.1646,115.1646,7/11/2023,2023,7,28,11
Bond Fund,4.26041E+11,3700408326,115.1335,115.1335,115.1335,7/10/2023,2023,7,28,10
Bond Fund,4.25067E+11,3695948386,115.0088,115.0088,115.0088,7/6/2023,2023,7,27,6
Bond Fund,4.23817E+11,3686083022,114.9776,114.9776,114.9776,7/5/2023,2023,7,27,5
Bond Fund,4.23158E+11,3681364544,114.9461,114.9461,114.9461,7/4/2023,2023,7,27,4
Bond Fund,4.20917E+11,3662852903,114.915,114.915,114.915,7/3/2023,2023,7,27,3
Bond Fund,4.2357E+11,3657123341,115.8205,115.8205,115.8205,6/30/2023,2023,6,26,30
Bond Fund,4.22808E+11,3652520494,115.7578,115.7578,115.7578,6/28/2023,2023,6,26,28
Bond Fund,4.22341E+11,3649477424,115.7263,115.7263,115.7263,6/27/2023,2023,6,26,27
Bond Fund,4.2082E+11,3637335281,115.6946,115.6946,115.6946,6/26/2023,2023,6,26,26
Bond Fund,4.27095E+11,3694658468,115.598,115.598,115.598,6/23/2023,2023,6,25,23
Bond Fund,4.26472E+11,3690256258,115.5669,115.5669,115.5669,6/22/2023,2023,6,25,22
Bond Fund,4.25268E+11,3680832849,115.5358,115.5358,115.5358,6/21/2023,2023,6,25,21
Bond Fund,4.24857E+11,3678262060,115.5047,115.5047,115.5047,6/20/2023,2023,6,25,20
Bond Fund,4.2423E+11,3673832256,115.4735,115.4735,115.4735,6/19/2023,2023,6,25,19
Bond Fund,4.23698E+11,3672201945,115.3799,115.3799,115.3799,6/16/2023,2023,6,24,16
Bond Fund,4.23055E+11,3667618387,115.3486,115.3486,115.3486,6/15/2023,2023,6,24,15
Bond Fund,4.22287E+11,3661954812,115.3174,115.3174,115.3174,6/14/2023,2023,6,24,14
Bond Fund,4.21631E+11,3657231369,115.2869,115.2869,115.2869,6/13/2023,2023,6,24,13
Bond Fund,4.20498E+11,3648384643,115.2561,115.2561,115.2561,6/12/2023,2023,6,24,12
