Scheme_Name,Net_Asset_Value,Outstanding_Number_of_Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued,Year,Month,Week,Day
Liquid Fund,7.99727E+11,2164904508,369.4054,369.4054,369.4054,9/8/2023,2023,9,36,8
Liquid Fund,7.97929E+11,2160629975,369.3039,369.3039,369.3039,9/7/2023,2023,9,36,7
Liquid Fund,7.97134E+11,2159071354,369.2024,369.2024,369.2024,9/6/2023,2023,9,36,6
Liquid Fund,7.96214E+11,2157170055,369.1012,369.1012,369.1012,9/5/2023,2023,9,36,5
Liquid Fund,7.949E+11,2154201439,368.9997,368.9997,368.9997,9/4/2023,2023,9,36,4
Liquid Fund,7.9256E+11,2149627483,368.6963,368.6963,368.6963,9/1/2023,2023,9,35,1
Liquid Fund,7.90788E+11,2145412545,368.595,368.595,368.595,8/31/2023,2023,8,35,31
Liquid Fund,7.8926E+11,2141858302,368.4933,368.4933,368.4933,8/30/2023,2023,8,35,30
Liquid Fund,7.87874E+11,2138682370,368.3921,368.3921,368.3921,8/29/2023,2023,8,35,29
Liquid Fund,7.84514E+11,2130150591,368.2905,368.2905,368.2905,8/28/2023,2023,8,35,28
Liquid Fund,7.82525E+11,2126505738,367.9863,367.9863,367.9863,8/25/2023,2023,8,34,25
Liquid Fund,7.8129E+11,2123736650,367.8846,367.8846,367.8846,8/24/2023,2023,8,34,24
Liquid Fund,7.81425E+11,2124690735,367.7827,367.7827,367.7827,8/23/2023,2023,8,34,23
Liquid Fund,7.80781E+11,2123529316,367.6808,367.6808,367.6808,8/22/2023,2023,8,34,22
Liquid Fund,7.77765E+11,2115912127,367.5792,367.5792,367.5792,8/21/2023,2023,8,34,21
Liquid Fund,7.75253E+11,2110825346,367.2747,367.2747,367.2747,8/18/2023,2023,8,33,18
Liquid Fund,7.74606E+11,2109650303,367.1728,367.1728,367.1728,8/17/2023,2023,8,33,17
Liquid Fund,7.74894E+11,2111012344,367.0721,367.0721,367.0721,8/16/2023,2023,8,33,16
Liquid Fund,7.74908E+11,2111629240,366.9714,366.9714,366.9714,8/15/2023,2023,8,33,15
Liquid Fund,7.75533E+11,2113918839,366.8699,366.8699,366.8699,8/14/2023,2023,8,33,14
Liquid Fund,7.75358E+11,2115175505,366.5692,366.5692,366.5692,8/11/2023,2023,8,32,11
Liquid Fund,7.76761E+11,2119581215,366.469,366.469,366.469,8/10/2023,2023,8,32,10
Liquid Fund,7.75036E+11,2115451438,366.369,366.369,366.369,8/9/2023,2023,8,32,9
Liquid Fund,7.66649E+11,2093706153,366.1685,366.1685,366.1685,8/7/2023,2023,8,32,7
Liquid Fund,7.62565E+11,2084251457,365.87,365.87,365.87,8/4/2023,2023,8,31,4
Liquid Fund,7.61906E+11,2083018014,365.7702,365.7702,365.7702,8/3/2023,2023,8,31,3
Liquid Fund,7.61118E+11,2081432994,365.6702,365.6702,365.6702,8/2/2023,2023,8,31,2
Liquid Fund,7.56962E+11,2070632307,365.5705,365.5705,365.5705,8/1/2023,2023,8,31,1
Liquid Fund,7.55242E+11,2066495797,365.47,365.47,365.47,7/31/2023,2023,7,31,31
Liquid Fund,7.53816E+11,2064290086,365.1698,365.1698,365.1698,7/28/2023,2023,7,30,28
Liquid Fund,7.53483E+11,2063941699,365.0699,365.0699,365.0699,7/27/2023,2023,7,30,27
Liquid Fund,7.5224E+11,2061099454,364.9702,364.9702,364.9702,7/26/2023,2023,7,30,26
Liquid Fund,7.4876E+11,2052123037,364.8708,364.8708,364.8708,7/25/2023,2023,7,30,25
Liquid Fund,7.46635E+11,2046860605,364.7709,364.7709,364.7709,7/24/2023,2023,7,30,24
Liquid Fund,7.45326E+11,2044955824,364.4707,364.4707,364.4707,7/21/2023,2023,7,29,21
Liquid Fund,7.44489E+11,2043219114,364.3704,364.3704,364.3704,7/20/2023,2023,7,29,20
Liquid Fund,7.44411E+11,2043569259,364.2702,364.2702,364.2702,7/19/2023,2023,7,29,19
Liquid Fund,7.43989E+11,2042972081,364.1702,364.1702,364.1702,7/18/2023,2023,7,29,18
Liquid Fund,7.48628E+11,2056275009,364.0699,364.0699,364.0699,7/17/2023,2023,7,29,17
Liquid Fund,7.45421E+11,2049141461,363.7722,363.7722,363.7722,7/14/2023,2023,7,28,14
Liquid Fund,7.43965E+11,2045699781,363.6728,363.6728,363.6728,7/13/2023,2023,7,28,13
Liquid Fund,7.41871E+11,2040499561,363.5731,363.5731,363.5731,7/12/2023,2023,7,28,12
