Scheme_Name,Net_Asset_Value,Outstanding_Number_of_Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued,Year,Month,Week,Day
Umoja Fund,3.29031E+11,345417313.5,952.5605,952.5605,943.0349,9/8/2023,2023,9,36,8
Umoja Fund,3.28965E+11,345395487.4,952.43,952.43,942.9057,9/7/2023,2023,9,36,7
Umoja Fund,3.28263E+11,345350122.2,950.5212,950.5212,941.016,9/6/2023,2023,9,36,6
Umoja Fund,3.28253E+11,345313293,950.5946,950.5946,941.0886,9/5/2023,2023,9,36,5
Umoja Fund,3.27152E+11,345219034,947.6648,947.6648,938.1882,9/4/2023,2023,9,36,4
Umoja Fund,3.26391E+11,345365894,945.0586,945.0586,935.608,9/1/2023,2023,9,35,1
Umoja Fund,3.25527E+11,345315218.7,942.696,942.696,933.269,8/31/2023,2023,8,35,31
Umoja Fund,3.2544E+11,345275649.9,942.5507,942.5507,933.1252,8/30/2023,2023,8,35,30
Umoja Fund,3.25351E+11,345231265.4,942.4149,942.4149,932.9907,8/29/2023,2023,8,35,29
Umoja Fund,3.25368E+11,345298028.5,942.2831,942.2831,932.8603,8/28/2023,2023,8,35,28
Umoja Fund,3.25219E+11,345284407.4,941.8874,941.8874,932.4685,8/25/2023,2023,8,34,25
Umoja Fund,3.2534E+11,345364286,942.02,942.02,932.5998,8/24/2023,2023,8,34,24
Umoja Fund,3.25275E+11,345350099.6,941.8704,941.8704,932.4517,8/23/2023,2023,8,34,23
Umoja Fund,3.24285E+11,345377597.5,938.9296,938.9296,929.5403,8/22/2023,2023,8,34,22
Umoja Fund,3.24209E+11,345236020.5,939.0952,939.0952,929.7042,8/21/2023,2023,8,34,21
Umoja Fund,3.24029E+11,345374985.1,938.1954,938.1954,928.8135,8/18/2023,2023,8,33,18
Umoja Fund,3.23954E+11,345354979.7,938.0328,938.0328,928.6524,8/17/2023,2023,8,33,17
Umoja Fund,3.23916E+11,345363091.8,937.8999,937.8999,928.5209,8/16/2023,2023,8,33,16
Umoja Fund,3.23852E+11,345333051.8,937.7959,937.7959,928.418,8/15/2023,2023,8,33,15
Umoja Fund,3.23734E+11,345473701.2,937.0714,937.0714,927.7007,8/14/2023,2023,8,33,14
Umoja Fund,3.23501E+11,345363816.3,936.6965,936.6965,927.3296,8/11/2023,2023,8,32,11
Umoja Fund,3.23506E+11,345343976.6,936.7648,936.7648,927.3972,8/10/2023,2023,8,32,10
Umoja Fund,3.23481E+11,345640423.8,935.8881,935.8881,926.5292,8/9/2023,2023,8,32,9
Umoja Fund,3.2309E+11,345597636.9,934.8725,934.8725,925.5238,8/7/2023,2023,8,32,7
Umoja Fund,3.22928E+11,345571300.8,934.4745,934.4745,925.1297,8/4/2023,2023,8,31,4
Umoja Fund,3.22604E+11,345551382.8,933.5913,933.5913,924.2554,8/3/2023,2023,8,31,3
Umoja Fund,3.22639E+11,345528599.5,933.754,933.754,924.4165,8/2/2023,2023,8,31,2
Umoja Fund,3.22629E+11,345458143.2,933.9167,933.9167,924.5775,8/1/2023,2023,8,31,1
Umoja Fund,3.2216E+11,345451130.2,932.5789,932.5789,923.2531,7/31/2023,2023,7,31,31
Umoja Fund,3.2198E+11,345409710.6,932.1695,932.1695,922.8478,7/28/2023,2023,7,30,28
Umoja Fund,3.21935E+11,345411371.5,932.0329,932.0329,922.7126,7/27/2023,2023,7,30,27
Umoja Fund,3.21636E+11,345249479,931.6048,931.6048,922.2888,7/26/2023,2023,7,30,26
Umoja Fund,3.21575E+11,345233345.9,931.4722,931.4722,922.1575,7/25/2023,2023,7,30,25
Umoja Fund,3.21468E+11,345057902,931.6353,931.6353,922.3189,7/24/2023,2023,7,30,24
Umoja Fund,3.21378E+11,345109021.5,931.2371,931.2371,921.9247,7/21/2023,2023,7,29,21
Umoja Fund,3.21463E+11,345150621.8,931.3703,931.3703,922.0566,7/20/2023,2023,7,29,20
Umoja Fund,3.21671E+11,345251567.3,931.7004,931.7004,922.3834,7/19/2023,2023,7,29,19
Umoja Fund,3.21709E+11,345207658,931.9301,931.9301,922.6108,7/18/2023,2023,7,29,18
Umoja Fund,3.2152E+11,345066368.9,931.7638,931.7638,922.4462,7/17/2023,2023,7,29,17
Umoja Fund,3.21462E+11,345151171.5,931.3663,931.3663,922.0526,7/14/2023,2023,7,28,14
Umoja Fund,3.21181E+11,345117130.4,930.6424,930.6424,921.336,7/13/2023,2023,7,28,13
Umoja Fund,3.21328E+11,345105176.8,931.1016,931.1016,921.7906,7/12/2023,2023,7,28,12
Umoja Fund,3.21166E+11,345089419.1,930.6734,930.6734,921.3666,7/11/2023,2023,7,28,11
Umoja Fund,3.21075E+11,345150919.1,930.2448,930.2448,920.9423,7/10/2023,2023,7,28,10
Umoja Fund,3.20773E+11,345153981.8,929.362,929.362,920.0684,7/6/2023,2023,7,27,6
Umoja Fund,3.20776E+11,345200744,929.2449,929.2449,919.9524,7/5/2023,2023,7,27,5
Umoja Fund,3.20297E+11,345190226.5,927.8851,927.8851,918.6063,7/4/2023,2023,7,27,4
Umoja Fund,3.20306E+11,345139547.5,928.0466,928.0466,918.7661,7/3/2023,2023,7,27,3
Umoja Fund,3.19929E+11,345145995.7,926.9394,926.9394,917.67,6/30/2023,2023,6,26,30
Umoja Fund,3.20064E+11,345239574,927.0792,927.0792,917.8084,6/28/2023,2023,6,26,28
Umoja Fund,3.20531E+11,345181930.9,928.586,928.586,919.3002,6/27/2023,2023,6,26,27
Umoja Fund,3.20486E+11,345056758.1,928.791,928.791,919.5031,6/26/2023,2023,6,26,26
Umoja Fund,3.20325E+11,345060807.5,928.314,928.314,919.0309,6/23/2023,2023,6,25,23
Umoja Fund,3.20284E+11,345066245.8,928.1806,928.1806,918.8988,6/22/2023,2023,6,25,22
Umoja Fund,3.2014E+11,344947184.8,928.0831,928.0831,918.8023,6/21/2023,2023,6,25,21
Umoja Fund,3.19771E+11,344928948.2,927.0631,927.0631,917.7924,6/20/2023,2023,6,25,20
Umoja Fund,3.19736E+11,344940987.7,926.931,926.931,917.6617,6/19/2023,2023,6,25,19
Umoja Fund,3.19587E+11,344927364,926.5345,926.5345,917.2692,6/16/2023,2023,6,24,16
Umoja Fund,3.19457E+11,344946642.9,926.1065,926.1065,916.8454,6/15/2023,2023,6,24,15
Umoja Fund,3.19311E+11,344957259.6,925.6526,925.6526,916.3961,6/14/2023,2023,6,24,14
Umoja Fund,3.19423E+11,345128076.6,925.5208,925.5208,916.2656,6/13/2023,2023,6,24,13
Umoja Fund,3.19326E+11,345076825,925.3776,925.3776,916.1238,6/12/2023,2023,6,24,12
Umoja Fund,3.19313E+11,344981739.2,925.5951,925.5951,916.3392,6/9/2023,2023,6,23,9
Umoja Fund,3.19181E+11,344887631.1,925.4637,925.4637,916.2091,6/8/2023,2023,6,23,8
Umoja Fund,3.19382E+11,344924765.9,925.9458,925.9458,916.6863,6/7/2023,2023,6,23,7
Umoja Fund,3.19555E+11,344795311.4,926.4379,926.4379,917.1736,6/6/2023,2023,6,23,6
Umoja Fund,3.19776E+11,344795311.4,927.437,927.437,918.1626,6/5/2023,2023,6,23,5
