Scheme_Name,Net_Asset_Value,Outstanding_Number_of_Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued,Year,Month,Week,Day
Watoto Fund,12326496281,20642219.35,597.1498,597.1498,591.1783,9/8/2023,2023,9,36,8
Watoto Fund,12305734217,20612079.44,597.0157,597.0157,591.0455,9/7/2023,2023,9,36,7
Watoto Fund,12288320276,20592311.3,596.7431,596.7431,590.7757,9/6/2023,2023,9,36,6
Watoto Fund,12275744000,20572494.78,596.7066,596.7066,590.7396,9/5/2023,2023,9,36,5
Watoto Fund,12239947595,20541600.16,595.8614,595.8614,589.9028,9/4/2023,2023,9,36,4
Watoto Fund,12201117349,20509406.52,594.9035,594.9035,588.9544,9/1/2023,2023,9,35,1
Watoto Fund,12177799926,20491191.64,594.2944,594.2944,588.3514,8/31/2023,2023,8,35,31
Watoto Fund,12145881454,20442140.54,594.159,594.159,588.2174,8/30/2023,2023,8,35,30
Watoto Fund,12122383519,20410589.56,593.9262,593.9262,587.9869,8/29/2023,2023,8,35,29
Watoto Fund,12100338913,20378132.65,593.7904,593.7904,587.8525,8/28/2023,2023,8,35,28
Watoto Fund,12079266841,20356624.54,593.3826,593.3826,587.4488,8/25/2023,2023,8,34,25
Watoto Fund,12074432004,20343733.23,593.521,593.521,587.5857,8/24/2023,2023,8,34,24
Watoto Fund,12046602342,20303998.64,593.3118,593.3118,587.3787,8/23/2023,2023,8,34,23
Watoto Fund,12030190224,20298834.78,592.6542,592.6542,586.7277,8/22/2023,2023,8,34,22
Watoto Fund,12012385648,20270728.8,592.5976,592.5976,586.6716,8/21/2023,2023,8,34,21
Watoto Fund,11992460000,20251071.25,592.1889,592.1889,586.267,8/18/2023,2023,8,33,18
Watoto Fund,11965929880,20210942,592.0521,592.0521,586.1315,8/17/2023,2023,8,33,17
Watoto Fund,11955990158,20198810.54,591.9156,591.9156,585.9964,8/16/2023,2023,8,33,16
Watoto Fund,11915973203,20131661.98,591.9021,591.9021,585.9831,8/15/2023,2023,8,33,15
Watoto Fund,11867287268,20059479.94,591.6049,591.6049,585.6889,8/14/2023,2023,8,33,14
Watoto Fund,11835871198,20016911.84,591.2936,591.2936,585.3806,8/11/2023,2023,8,32,11
Watoto Fund,11829784997,20007849.79,591.2572,591.2572,585.3446,8/10/2023,2023,8,32,10
Watoto Fund,11810611105,19988462.39,590.8714,590.8714,584.9627,8/9/2023,2023,8,32,9
Watoto Fund,11779661362,19951925.18,590.4022,590.4022,584.4982,8/7/2023,2023,8,32,7
Watoto Fund,11695969861,19823946.06,589.992,589.992,584.0921,8/4/2023,2023,8,31,4
Watoto Fund,11638238624,19737269.25,589.658,589.658,583.7614,8/3/2023,2023,8,31,3
Watoto Fund,11628182421,19722082.57,589.6022,589.6022,583.7061,8/2/2023,2023,8,31,2
Watoto Fund,11603291724,19681735.78,589.5462,589.5462,583.6507,8/1/2023,2023,8,31,1
Watoto Fund,11583019611,19664270.61,589.0389,589.0389,583.1485,7/31/2023,2023,7,31,31
Watoto Fund,11538976032,19604972.96,588.5739,588.5739,582.6882,7/28/2023,2023,7,30,28
Watoto Fund,11525362666,19586447.79,588.4356,588.4356,582.5512,7/27/2023,2023,7,30,27
Watoto Fund,11500435712,19551438.61,588.2143,588.2143,582.3322,7/26/2023,2023,7,30,26
Watoto Fund,11470874494,19505636.86,588.08,588.08,582.1992,7/25/2023,2023,7,30,25
Watoto Fund,11161442944,18981060.14,588.0305,588.0305,582.1502,7/24/2023,2023,7,30,24
Watoto Fund,11153647323,18981094.01,587.6188,587.6188,581.7426,7/21/2023,2023,7,29,21
Watoto Fund,11134772665,18947277.31,587.6714,587.6714,581.7947,7/20/2023,2023,7,29,20
Watoto Fund,11127144238,18935113.53,587.646,587.646,581.7696,7/19/2023,2023,7,29,19
Watoto Fund,11083594905,18856141.14,587.7976,587.7976,581.9196,7/18/2023,2023,7,29,18
Watoto Fund,11069379881,18837967.93,587.6101,587.6101,581.734,7/17/2023,2023,7,29,17
Watoto Fund,11054223218,18825087.32,587.207,587.207,581.3349,7/14/2023,2023,7,28,14
Watoto Fund,11026767398,18788133.44,586.9006,586.9006,581.0316,7/13/2023,2023,7,28,13
Watoto Fund,11019250631,18774109.03,586.9387,586.9387,581.0693,7/12/2023,2023,7,28,12
Watoto Fund,11005861363,18758363.83,586.7176,586.7176,580.8504,7/11/2023,2023,7,28,11
Watoto Fund,10960200622,18687577.64,586.4966,586.4966,580.6316,7/10/2023,2023,7,28,10
Watoto Fund,10908511225,18629708.47,585.5439,585.5439,579.6884,7/6/2023,2023,7,27,6
Watoto Fund,10913947332,18641645.21,585.4605,585.4605,579.6059,7/5/2023,2023,7,27,5
Watoto Fund,10879201933,18611204.29,584.5512,584.5512,578.7057,7/4/2023,2023,7,27,4
Watoto Fund,10823175546,18516874.53,584.5034,584.5034,578.6583,7/3/2023,2023,7,27,3
Watoto Fund,10746136127,18407513.44,583.7908,583.7908,577.9528,6/30/2023,2023,6,26,30
Watoto Fund,10730754082,18382746.23,583.7405,583.7405,577.9031,6/28/2023,2023,6,26,28
Watoto Fund,10700707571,18326952.96,583.8782,583.8782,578.0394,6/27/2023,2023,6,26,27
Watoto Fund,10676148030,18283272.71,583.9298,583.9298,578.0905,6/26/2023,2023,6,26,26
Watoto Fund,10660171982,18268576.9,583.525,583.525,577.6898,6/23/2023,2023,6,25,23
Watoto Fund,10649650769,18254812.25,583.3887,583.3887,577.5548,6/22/2023,2023,6,25,22
Watoto Fund,10639454721,18236385.97,583.419,583.419,577.5848,6/21/2023,2023,6,25,21
Watoto Fund,10615976782,18208613.31,583.0195,583.0195,577.1893,6/20/2023,2023,6,25,20
Watoto Fund,10598109184,18182114.12,582.8865,582.8865,577.0577,6/19/2023,2023,6,25,19
Watoto Fund,10587320772,18176068.68,582.4868,582.4868,576.662,6/16/2023,2023,6,24,16
Watoto Fund,10544216735,18108971.28,582.2648,582.2648,576.4422,6/15/2023,2023,6,24,15
Watoto Fund,10527820407,18091164.3,581.9316,581.9316,576.1123,6/14/2023,2023,6,24,14
Watoto Fund,10500192430,18047815.07,581.7985,581.7985,575.9806,6/13/2023,2023,6,24,13
Watoto Fund,10475954416,18011937.18,581.6118,581.6118,575.7956,6/12/2023,2023,6,24,12
Watoto Fund,10454733454,17977289.85,581.5523,581.5523,575.7367,6/9/2023,2023,6,23,9
Watoto Fund,10450047296,17973305.06,581.4205,581.4205,575.6063,6/8/2023,2023,6,23,8
Watoto Fund,10442669116,17954304.12,581.6248,581.6248,575.8086,6/7/2023,2023,6,23,7
Watoto Fund,10442381419,17948539.01,581.7956,581.7956,575.9777,6/6/2023,2023,6,23,6
Watoto Fund,10391319168,17850333.34,582.1359,582.1359,576.3145,6/5/2023,2023,6,23,5
