Scheme_Name,Net_Asset_Value,Outstanding_Number_of_Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued,Year,Month,Week,Day
Wekeza Maisha Fund,9990963996,12379532.6,807.055,807.055,790.9139,9/8/2023,2023,9,36,8
Wekeza Maisha Fund,9989018903,12378165.79,806.987,806.987,790.8473,9/7/2023,2023,9,36,7
Wekeza Maisha Fund,9981391187,12370188.94,806.8908,806.8908,790.7529,9/6/2023,2023,9,36,6
Wekeza Maisha Fund,9977585342,12366514.51,806.8228,806.8228,790.6863,9/5/2023,2023,9,36,5
Wekeza Maisha Fund,9959353648,12347640.64,806.5795,806.5795,790.4479,9/4/2023,2023,9,36,4
Wekeza Maisha Fund,9945957986,12333953.46,806.3885,806.3885,790.2607,9/1/2023,2023,9,35,1
Wekeza Maisha Fund,9927588669,12316358.39,806.049,806.049,789.928,8/31/2023,2023,8,35,31
Wekeza Maisha Fund,9915712944,12302674.18,805.9803,805.9803,789.8607,8/30/2023,2023,8,35,30
Wekeza Maisha Fund,9819968121,12184974.53,805.908,805.908,789.7898,8/29/2023,2023,8,35,29
Wekeza Maisha Fund,9774436939,12129504.45,805.8398,805.8398,789.723,8/28/2023,2023,8,35,28
Wekeza Maisha Fund,9759538169,12112249.76,805.7577,805.7577,789.6425,8/25/2023,2023,8,34,25
Wekeza Maisha Fund,9745773911,12090172.47,806.0906,806.0906,789.9687,8/24/2023,2023,8,34,24
Wekeza Maisha Fund,9753020165,12102626.41,805.8598,805.8598,789.7426,8/23/2023,2023,8,34,23
Wekeza Maisha Fund,9732405590,12097723.92,804.4824,804.4824,788.3927,8/22/2023,2023,8,34,22
Wekeza Maisha Fund,9715167692,12078361.84,804.3448,804.3448,788.2579,8/21/2023,2023,8,34,21
Wekeza Maisha Fund,9695896353,12063073.75,803.7666,803.7666,787.6913,8/18/2023,2023,8,33,18
Wekeza Maisha Fund,9688860180,12057214.51,803.5737,803.5737,787.5022,8/17/2023,2023,8,33,17
Wekeza Maisha Fund,9680476122,12049580.96,803.387,803.387,787.3192,8/16/2023,2023,8,33,16
Wekeza Maisha Fund,9674778121,12041308.12,803.4657,803.4657,787.3964,8/15/2023,2023,8,33,15
Wekeza Maisha Fund,9648015301,12012445.86,803.1683,803.1683,787.1049,8/14/2023,2023,8,33,14
Wekeza Maisha Fund,9628352062,11993179.4,802.819,802.819,786.7626,8/11/2023,2023,8,32,11
Wekeza Maisha Fund,9620491769,11986185.09,802.6317,802.6317,786.579,8/10/2023,2023,8,32,10
Wekeza Maisha Fund,9613225457,11986299.62,802.0178,802.0178,785.9774,8/9/2023,2023,8,32,9
Wekeza Maisha Fund,9590622018,11969663.85,801.2441,801.2441,785.2192,8/7/2023,2023,8,32,7
Wekeza Maisha Fund,9569959961,11952229.58,800.6841,800.6841,784.6704,8/4/2023,2023,8,31,4
Wekeza Maisha Fund,9537349365,11920256.21,800.096,800.096,784.0941,8/3/2023,2023,8,31,3
Wekeza Maisha Fund,9528512084,11911160.54,799.965,799.965,783.9657,8/2/2023,2023,8,31,2
Wekeza Maisha Fund,9516948383,11898660.12,799.8336,799.8336,783.8369,8/1/2023,2023,8,31,1
Wekeza Maisha Fund,9494292509,11881108.09,799.1083,799.1083,783.1262,7/31/2023,2023,7,31,31
Wekeza Maisha Fund,9479692911,11872786.22,798.4388,798.4388,782.47,7/28/2023,2023,7,30,28
Wekeza Maisha Fund,9442531909,11829011.8,798.252,798.252,782.2869,7/27/2023,2023,7,30,27
Wekeza Maisha Fund,9431932420,11819346.2,798.008,798.008,782.0478,7/26/2023,2023,7,30,26
Wekeza Maisha Fund,9422108919,11809788.64,797.822,797.822,781.8655,7/25/2023,2023,7,30,25
Wekeza Maisha Fund,9398638441,11782284.07,797.6924,797.6924,781.7386,7/24/2023,2023,7,30,24
Wekeza Maisha Fund,9382449892,11770249.68,797.1326,797.1326,781.19,7/21/2023,2023,7,29,21
Wekeza Maisha Fund,9376849943,11761215.41,797.2688,797.2688,781.3234,7/20/2023,2023,7,29,20
Wekeza Maisha Fund,9351813736,11736441.89,796.8185,796.8185,780.8821,7/19/2023,2023,7,29,19
Wekeza Maisha Fund,9342104890,11719828.39,797.1196,797.1196,781.1772,7/18/2023,2023,7,29,18
Wekeza Maisha Fund,9313286284,11687985.76,796.8256,796.8256,780.8891,7/17/2023,2023,7,29,17
Wekeza Maisha Fund,9300712332,11680354.4,796.2697,796.2697,780.3443,7/14/2023,2023,7,28,14
Wekeza Maisha Fund,9286611905,11667029.88,795.9705,795.9705,780.0511,7/13/2023,2023,7,28,13
Wekeza Maisha Fund,9279194952,11658752.66,795.8995,795.8995,779.9815,7/12/2023,2023,7,28,12
Wekeza Maisha Fund,9272371563,11653731.66,795.6569,795.6569,779.7437,7/11/2023,2023,7,28,11
Wekeza Maisha Fund,9259570116,11641192.61,795.4142,795.4142,779.5059,7/10/2023,2023,7,28,10
Wekeza Maisha Fund,9234822493,11630847.25,793.994,793.994,778.1141,7/6/2023,2023,7,27,6
Wekeza Maisha Fund,9217355453,11609935.64,793.9196,793.9196,778.0412,7/5/2023,2023,7,27,5
Wekeza Maisha Fund,9192583078,11595407.38,792.7779,792.7779,776.9224,7/4/2023,2023,7,27,4
